,Title,Directed by,Produced by,Starring,Cinematography,Edited by,Music by,Production companies,Distributed by,Release date,Running time,Language,Budget,Box office,Country,Written by
331,La La Land,Damien Chazelle,"['Fred Berger', 'Jordan Horowitz', 'Gary Gilbert', 'Marc Platt']","['Ryan Gosling', 'Emma Stone', 'John Legend', 'Rosemarie DeWitt', 'Finn Wittrock', 'J. K. Simmons']",Linus Sandgren,Tom Cross,Justin Hurwitz,"['Summit Entertainment', 'Gilbert Films', 'Marc Platt Productions', 'Impostor Pictures', 'Black Label Media']",Lionsgate,2016-08-31,128.0,English,30000000.0,448900000.0,United States,Damien Chazelle
332,Patriots Day,Peter Berg,"['Scott Stuber', 'Dylan Clark', 'Mark Wahlberg', 'Stephen Levinson', 'Hutch Parker', 'Dorothy Aufiero', 'Michael Radutzky']","['Mark Wahlberg', 'Kevin Bacon', 'John Goodman', 'J. K. Simmons', 'Michelle Monaghan']",Tobias A. Schliessler,"['Colby Parker Jr.', 'Gabriel Fleming']","['Trent Reznor', 'Atticus Ross']","['CBS Films', 'Closest to the Hole Productions', 'Bluegrass Films']",Lionsgate,2016-11-17,133.0,English,45000000.0,52200000.0,United States,
333,John Wick: Chapter 2,Chad Stahelski,"['Basil Iwanyk', 'Erica Lee']","['Keanu Reeves', 'Common', 'Laurence Fishburne', 'Riccardo Scamarcio', 'Ruby Rose', 'Lance Reddick', 'Peter Stormare', 'Bridget Moynahan', 'Franco Nero', 'John Leguizamo', 'Ian McShane']",Dan Laustsen,Evan Schiff,"['Tyler Bates', 'Joel J. Richard']","['Summit Entertainment', 'Thunder Road Pictures', '87Eleven Productions', 'Company Films']",Lionsgate,2017-01-30,122.0,English,40000000.0,171500000.0,United States,Derek Kolstad
334,Rock Dog,Ash Brannon,"['Amber Wang', 'David B. Miller', 'Rob Feng', 'Joyce Lou', 'Zheng Jun']","['J. K. Simmons', 'Luke Wilson', 'Eddie Izzard', 'Lewis Black', 'Kenan Thompson', 'Mae Whitman', 'Jorge Garcia', 'Matt Dillon', 'Sam Elliott']",,"['Ivan Bilancio', 'Ed Fuller']",Rolfe Kent,"['Mandoo Pictures', 'Huayi Tencent Entertainment Company', 'Eracme Entertainment', 'Dream Factory Group', 'Reel FX Animation Studios', 'Timeless Films']","['Huayi Brothers (China)', 'Summit Premiere (United States; through Lionsgate )']",2016-06-15,80.0,,60000000.0,24100000.0,,
335,The Shack,Stuart Hazeldine,"['Gil Netter', 'Brad Cummings']","['Sam Worthington', 'Octavia Spencer', 'Avraham Aviv Alush', 'Radha Mitchell', 'Alice Braga', 'Graham Greene', 'Tim McGraw', 'Sumire Matsubara']",Declan Quinn,William Steinkamp,Aaron Zigman,"['Summit Entertainment', 'Gil Netter Productions', 'Windblown Media']",Lionsgate,2017-03-03,132.0,English,20000000.0,96900000.0,United States,
336,Trespass Against Us,Adam Smith,"['Andrea Calderwood', 'Gail Egan', 'Alastair Siddons']","['Michael Fassbender', 'Brendan Gleeson', 'Lyndsey Marshal', 'Killian Scott', 'Rory Kinnear', 'Sean Harris']",Eduard Grau,"['Kristina Hetherington', 'Jake Roberts']",Tom Rowlands,"['Film4', 'BFI', 'Protagonist Pictures', 'Animal Kingdom', 'Lipsync LLP', 'Westgrove Partners', 'DMC Film', 'Potboiler Productions', 'Albert Granville']","['Lionsgate (United Kingdom)', 'A24 (United States)']",2016-09-09,99.0,English,,517197.0,,Alastair Siddons
337,The Sense of an Ending,Ritesh Batra,"['David M. Thompson', 'Ed Rubin']","['Jim Broadbent', 'Charlotte Rampling', 'Harriet Walter', 'Emily Mortimer', 'Michelle Dockery', 'Billy Howle']",Christopher Ross,John F. Lyons,Max Richter,"['BBC Films', 'FilmNation Entertainment', 'Origin Pictures']","['CBS Films', 'Lionsgate (United States)', 'StudioCanal (United Kingdom)']",2017-01-02,108.0,English,,4500000.0,,Nick Payne
338,Power Rangers,Dean Israelite,"['Haim Saban', 'Brian Casentini', 'Marty Bowen', 'Wyck Godfrey']","['Dacre Montgomery', 'Naomi Scott', 'RJ Cyler', 'Becky G', 'Ludi Lin', 'David Denman', 'Bill Hader', 'Bryan Cranston', 'Elizabeth Banks']",Matthew J. Lloyd,"['Martin Bernfeld', 'Dody Dorn']",Brian Tyler,"['Lionsgate', 'SCG Films', 'Temple Hill Entertainment']","['Lionsgate (United States)', 'Toei (Japan)']",2017-03-22,124.0,English,105000000.0,142300000.0,United States,
339,Aftermath,Elliott Lester,"['Scott Franklin', 'Randall Emmett', 'Eric Watson', 'George Furla', 'Peter Dealbert', 'Arnold Schwarzenegger', 'Darren Aronofsky']","['Arnold Schwarzenegger', 'Scoot McNairy', 'Maggie Grace', 'Martin Donovan']",Pieter Vermeer,Nicholas Wayman-Harris,['Mark Todd'],"['Emmett/Furla/Oasis Films', 'Pacific View Management', 'Protozoa Pictures', 'Grindstone Entertainment Group']",Lionsgate Premiere,2017-04-07,92.0,English,10500000.0,674238.0,United States,Javier Gullón
340,Their Finest,Lone Scherfig,"['Elizabeth Karlsen', 'Amanda Posey', 'Stephen Woolley']","['Gemma Arterton', 'Sam Claflin', 'Bill Nighy', 'Jack Huston', 'Helen McCrory', 'Eddie Marsan', 'Jake Lacy', 'Rachael Stirling', 'Richard E. Grant']",Sebastian Blenkov,Lucia Zucchetti,Rachel Portman,"['EuropaCorp', 'BBC Films', 'Welsh Screen', 'Pinewood Pictures', 'Ingenious Media', 'HanWay Films', 'Ripken Productions', 'Film i Väst', 'Filmgate Films', 'Wildgaze Films', 'Number 9 Films']",Lionsgate,2016-09-10,117.0,English,,12300000.0,United Kingdom,
341,All Eyez on Me,Benny Boom,"['David Robinson', 'L.T. Hutton', 'James G. Robinson']","['Demetrius Shipp Jr.', 'Kat Graham', 'Lauren Cohan', 'Hill Harper', 'Danai Gurira']",Peter Menzies Jr.,Joel Cox,John Paesano,"['Summit Entertainment', 'Morgan Creek Productions', 'Program Pictures', 'Codeblack Films']",Lionsgate,2017-06-14,140.0,English,40000000.0,55700000.0,United States,"['Jeremy Haft', 'Eddie Gonzalez', 'Steven Bagatourian']"
342,The Big Sick,Michael Showalter,"['Judd Apatow', 'Barry Mendel']","['Kumail Nanjiani', 'Zoe Kazan', 'Holly Hunter', 'Ray Romano']",Brian Burgoyne,Robert Nassau,Michael Andrews,"['FilmNation Entertainment', 'Apatow Productions']","['Amazon Studios', 'Lionsgate']",2017-01-20,120.0,English,5000000.0,56400000.0,United States,"['Emily V. Gordon', 'Kumail Nanjiani']"
343,The Glass Castle,Destin Daniel Cretton,"['Gil Netter', 'Ken Kao']","['Brie Larson', 'Woody Harrelson', 'Max Greenfield', 'Sarah Snook', 'Naomi Watts']",Brett Pawlak,Nat Sanders,Joel P. West,,Lionsgate,2017-08-09,127.0,English,9000000.0,22100000.0,United States,"['Destin Daniel Cretton', 'Andrew Lanham', 'Marti Noxon']"
344,The Hitman's Bodyguard,Patrick Hughes,"['Mark Gill', 'John Thompson', ""Matt O'Toole"", 'Les Weldon']","['Ryan Reynolds', 'Samuel L. Jackson', 'Gary Oldman', 'Salma Hayek', 'Élodie Yung', 'Joaquim de Almeida', 'Kirsty Mitchell', 'Richard E. Grant']",Jules O'Loughlin,Jake Roberts,Atli Örvarsson,"['Summit Entertainment', 'Millennium Media', 'Cristal Pictures']",Lionsgate,2017-08-18,118.0,English,30000000.0,176600000.0,United States,Tom O'Connor
345,The Limehouse Golem,Juan Carlos Medina,"['Elizabeth Karlsen', 'Stephen Woolley', 'Joanna Laurie']","['Bill Nighy', 'Olivia Cooke', 'Douglas Booth', 'Daniel Mays', 'Sam Reid', 'María Valverde', 'Henry Goodman', 'Morgan Watkins', 'Eddie Marsan', '']",Simon Dennis,Justin Krish,Johan Söderqvist,"['New Sparta Films', 'HanWay Films', 'LipSync Productions', 'Day Tripper Films', 'Number 9 Films', 'Ingenious Meida', 'Cutting Edge Group']",Lionsgate,2016-09-10,105.0,English,,2350000.0,United Kingdom,
346,American Assassin,Michael Cuesta,"['Lorenzo di Bonaventura', 'Nick Wechsler']","[""Dylan O'Brien"", 'Michael Keaton', 'Sanaa Lathan', 'Shiva Negar', 'Taylor Kitsch']",Enrique Chediak,Conrad Buff IV,Steven Price,"['CBS Films', 'Di Bonaventura Pictures']",Lionsgate,2017-09-15,111.0,English,33000000.0,67200000.0,United States,"['Stephen Schiff', 'Michael Finch', 'Edward Zwick', 'Marshall Herskovitz']"
347,Stronger,David Gordon Green,"['Jake Gyllenhaal', 'Michel Litvak', 'Scott Silver', 'Todd Lieberman', 'David Hoberman']","['Jake Gyllenhaal', 'Tatiana Maslany', 'Miranda Richardson', 'Clancy Brown']",Sean Bobbitt,Dylan Tichenor,Michael Brook,"['Bold Films', 'Mandeville Films', 'Nine Stories Productions']","['Lionsgate', 'Roadside Attractions']",2017-09-08,119.0,English,30000000.0,8500000.0,United States,
348,My Little Pony: The Movie,Jayson Thiessen,"['Brian Goldner', 'Stephen Davis', 'Marcia Gwendolyn Jones', 'Haven Alexander']","['Tara Strong', 'Ashleigh Ball', 'Andrea Libman', 'Tabitha St. Germain', 'Cathy Weseluck', 'Emily Blunt', 'Kristin Chenoweth', 'Liev Schreiber', 'Michael Peña', 'Sia', 'Taye Diggs', 'Uzo Aduba', 'Zoe Saldana']",Anthony Di Ninno,Braden Oberson,Daniel Ingram,"['Allspark Pictures', 'DHX Media']","['Lionsgate (United States)', 'Entertainment One Films (Canada)']",2017-09-24,99.0,English,6500000.0,61300000.0,,
349,Boo 2! A Madea Halloween,Tyler Perry,"['Tyler Perry', 'Ozzie Areu', 'Will Areu']","['Tyler Perry', 'Cassi Davis', 'Patrice Lovely', 'Yousef Erakat', 'Diamond White', 'Lexy Panterra', 'Andre Hall', ""Brock O'Hurn"", 'Tito Ortiz']",Richard Vialet,Larry Sexton,"['Christopher Lennertz', 'Phillip White']",,Lionsgate,2017-10-20,101.0,English,20000000.0,48300000.0,United States,Tyler Perry
350,Leatherface,"['Julien Maury', 'Alexandre Bustillo']","['Christa Campbell', 'Lati Grobman', 'Carl Mazzocone', 'Les Weldon']","['Stephen Dorff', 'Lili Taylor']",Antoine Sanier,"['Sebastien De', 'Sainte Croixe', 'Josh Ethier']",John Frizzell,"['Campbell Grobman Films', 'Mainline Pictures', 'Millennium Films']",Lionsgate,2017-08-25,90.0,English,,1500000.0,United States,
351,Where's the Money,Scott Zabielski,"['Dylan Sellers', 'Zack Schiller']","['Andrew Bachelor', 'Kat Graham', 'Logan Paul', 'Allen Maldonado', 'Josh Brener', 'Devon Werkheiser', 'Method Man', 'Retta', 'Mike Epps', 'Terry Crews']",Andrew Huebscher,Chris McKinley,Math Club,"['Boies / Schiller Film Group', 'Rivers Edge Films']",Lionsgate,2017-10-20,,English,1500000.0,,United States,"['Ted Sperling', 'Benjamin Sutor', '& Scott Zabielski']"
352,Jigsaw,The Spierig Brothers,"['Gregg Hoffman', 'Oren Koules', 'Mark Burg']","['Matt Passmore', 'Callum Keith Rennie', 'Clé Bennett', 'Hannah Emily Anderson']",Ben Nott,Kevin Greutert,Charlie Clouser,,Lionsgate,2017-10-27,92.0,English,10000000.0,103000000.0,United States,"['Josh Stolberg', 'Peter Goldfinger']"
353,Last Flag Flying,Richard Linklater,"['Ginger Sledge', 'John Sloss']","['Steve Carell', 'Bryan Cranston', 'Laurence Fishburne', 'Yul Vazquez', 'Cicely Tyson']",Shane F. Kelly,Sandra Adair,Graham Reynolds,"['Amazon Studios', 'Big Indie Pictures', 'Detour Filmproduction']","['Amazon Studios', 'Lionsgate']",2017-09-28,124.0,English,,1900000.0,United States,
354,Wonder,Stephen Chbosky,"['David Hoberman', 'Todd Lieberman']","['Julia Roberts', 'Owen Wilson', 'Jacob Tremblay', 'Mandy Patinkin', 'Daveed Diggs']",Don Burgess,Mark Livolsi,Marcelo Zarvos,"['Lionsgate', 'Mandeville Films', 'Participant Media', 'Walden Media', 'TIK Films']",Lionsgate,2017-11-14,113.0,English,20000000.0,306200000.0,United States,
355,Acts of Violence,Brett Donowho,"['Randall Emmett', 'George Furla', 'Anthony Callie', 'Mark Stewart']","['Bruce Willis', 'Cole Hauser', 'Shawn Ashmore', 'Ashton Holmes', 'Melissa Bolona', 'Sophia Bush', 'Mike Epps']",,"['Ryan Easton', 'Frederick Wardell']",,"['Grindstone Entertainment Group', 'Emmett/Furla/Oasis Films']",Lionsgate Premiere,2018-01-12,88.0,English,,386790.0,United States,Nicolas Aaron Mezzanatto
356,The Commuter,Jaume Collet-Serra,"['Andrew Rona', 'Alex Heineman']","['Liam Neeson', 'Vera Farmiga', 'Patrick Wilson', 'Jonathan Banks', 'Sam Neill']",Paul Cameron,Nicolas de Toth,Roque Baños,"['StudioCanal', 'The Picture Company', 'Ombra Films']","['StudioCanal (United Kingdom, France, Germany, Australia and New Zealand)', 'Lionsgate (United States)']",2018-01-08,105.0,English,30000000.0,119900000.0,,
357,12 Strong,Nicolai Fuglsig,"['Jerry Bruckheimer', 'Molly Smith', 'Thad Luckinbill', 'Trent Luckinbill']","['Chris Hemsworth', 'Michael Shannon', 'Michael Peña', 'Trevante Rhodes']",Rasmus Videbæk,Lisa Lassek,Lorne Balfe,"['Alcon Entertainment', 'Black Label Media', 'Jerry Bruckheimer Films', 'Torridon Films']","['Warner Bros. Pictures (North America)', 'Lionsgate (International)']",2018-01-16,129.0,English,35000000.0,71100000.0,United States,"['Ted Tally', 'Peter Craig']"
358,Journey's End,Saul Dibb,"['Guy de Beaujeu', 'Simon Reade']","['Sam Claflin', 'Asa Butterfield', 'Paul Bettany', 'Tom Sturridge', 'Toby Jones']",Laurie Rose,Tania Reddin,"['Natalie Holt', 'Hildur Guðnadóttir']",,Lionsgate,2017-09-08,103.0,English,,1000000.0,United Kingdom,Simon Reade
359,Winchester,The Spierig Brothers,"['Tim McGahan', 'Brett Tomberlin']","['Helen Mirren', 'Jason Clarke', 'Sarah Snook']",Ben Nott,Matt Villa,Peter Spierig,"['Bullitt Entertainment', 'Diamond Pictures', 'Imagination Design Works']","['Lionsgate', 'CBS Films (United States and United Kingdom)', 'StudioCanal (Australia and New Zealand)']",2018-02-02,99.0,English,3500000.0,46000000.0,,
360,Early Man,Nick Park,"['Peter Lord', 'David Sproxton', 'Nick Park', 'Carla Shelley', 'Richard Beek']","['Eddie Redmayne', 'Tom Hiddleston', 'Maisie Williams', 'Timothy Spall']",Dave Alex Riddett,Sim Evan-Jones,"['Harry Gregson-Williams', 'Tom Howe']","['Aardman Animations', 'British Film Institute']",StudioCanal,2018-01-20,87.0,English,50000000.0,54600000.0,United Kingdom,
361,Acrimony,Tyler Perry,"['Mark E. Swinton', 'Will Areu', 'Ozzie Areu', 'Tyler Perry']","['Taraji P. Henson', 'Lyriq Bent', 'Crystle Stewart', 'Ptosha Storey', 'Jazmyn Simon', 'Ajiona Alexus', 'Antonio Madison', 'Bresha Webb', 'Danielle Nicolet', 'Nelson Estevez', 'Kendrick Cross']",Richard J. Vialet,Larry Sexton,Christopher Lennertz,,Lionsgate,2018-03-30,120.0,English,20000000.0,46400000.0,United States,Tyler Perry
362,Traffik,Deon Taylor,"['Roxanne Avent', 'Paula Patton', 'Deon Taylor']","['Paula Patton', 'Omar Epps', 'Laz Alonso', 'Roselyn Sánchez', 'Dawn Olivieri', 'Luke Goss', 'Missi Pyle', 'William Fichtner']",Dante Spinotti,Melissa Kent,Geoff Zanelli,"['Summit Entertainment', 'Codeblack Films', 'Hidden Empire Film Group']",Lionsgate,2018-04-20,96.0,English,4000000.0,9500000.0,United States,Deon Taylor
363,The Con Is On,James Oakley,"['Cassian Elwes', 'J. C. Chandor', 'Robert Ogden Barnum', 'Dave Hansen', 'William Clevinger', 'Jaclyn Ann Suri', 'Elliot Michael Smith']","['Uma Thurman', 'Tim Roth', 'Alice Eve', 'Sofía Vergara', 'Maggie Q']",Joseph White,Anthony Boys,"['Charlie Klarsfeld', 'Zach Seman']","['Evolution Entertainment', 'Fortitude International', 'Autumn Productions', 'BondIt', 'Buffalo 8 Productions', 'Pelican Point Media']",Lionsgate,2018-05-04,90.0,English,,,,"['Alex Michaelides', 'James Oakley']"
364,Sicario: Day of the Soldado,Stefano Sollima,"['Basil Iwanyk', 'Edward L. McDonnell', 'Molly Smith', 'Thad Luckinbill', 'Trent Luckinbill']","['Benicio del Toro', 'Josh Brolin', 'Isabela Moner', 'Jeffrey Donovan', 'Manuel Garcia-Rulfo', 'Catherine Keener']",Dariusz Wolski,Matthew Newman,Hildur Guðnadóttir,"['Black Label Media', 'Thunder Road Pictures']","['Sony Pictures Releasing', '(under', 'Columbia Pictures', '; North America, Latin America and Spain)', 'Lionsgate', '(International)']",2018-06-11,122.0,,35000000.0,75800000.0,United States,Taylor Sheridan
365,Uncle Drew,Charles Stone III,"['Marty Bowen', 'Wyck Godfrey']","['Kyrie Irving', 'Lil Rel Howery', ""Shaquille O'Neal"", 'Chris Webber', 'Reggie Miller', 'Nate Robinson', 'Lisa Leslie', 'Erica Ash', 'J. B. Smoove', 'Mike Epps', 'Tiffany Haddish', 'Nick Kroll']",Crash,"['Jeff Freeman', 'Sean Valla']",Christopher Lennertz,"['Summit Entertainment', 'Temple Hill Entertainment', 'Pepsi Productions']",Lionsgate,2018-06-29,103.0,English,18000000.0,46700000.0,United States,Jake Kroell
366,Blindspotting,Carlos López Estrada,"['Keith Calder', 'Jess Calder', 'Rafael Casal', 'Daveed Diggs']","['Daveed Diggs', 'Rafael Casal', 'Janina Gavankar', 'Jasmine Cephas Jones', 'Ethan Embry', 'Tisha Campbell-Martin', 'Utkarsh Ambudkar', 'Wayne Knight']",Robby Baumgartner,Gabriel Fleming,Michael Yezerski,"['Summit Entertainment', 'Codeblack Films', 'Snoot Entertainment']",Lionsgate,2018-01-18,95.0,English,,5000000.0,United States,"['Rafael Casal', 'Daveed Diggs']"
367,The Spy Who Dumped Me,Susanna Fogel,"['Brian Grazer', 'Erica Huggins']","['Mila Kunis', 'Kate McKinnon', 'Justin Theroux', 'Sam Heughan']",Barry Peterson,Jonathan Schwartz,Tyler Bates,"['Imagine Entertainment', 'Hercules Bron Creative Partnership']",Lionsgate,2018-08-03,117.0,English,40000000.0,75300000.0,United States,"['Susanna Fogel', 'David Iserson']"
368,Kin,"['Jonathan Baker', 'Josh Baker']","['Shawn Levy', 'Dan Cohen', 'Jeff Arkuss', 'David Gross', 'Jesse Shapira']","['Myles Truitt', 'Jack Reynor', 'Zoë Kravitz', 'Carrie Coon', 'Dennis Quaid', 'James Franco']",Larkin Seiple,Mark Day,Mogwai,"['Summit Entertainment', 'No Trace Camping', '21 Laps Entertainment']",Lionsgate,2018-08-31,102.0,English,30000000.0,10300000.0,United States,
369,A Simple Favor,Paul Feig,"['Paul Feig', 'Jessie Henderson']","['Anna Kendrick', 'Blake Lively', 'Henry Golding', 'Andrew Rannells']",John Schwartzman,Brent White,Theodore Shapiro,"['Feigco Entertainment', 'Hercules Bron Creative Partnership']",Lionsgate,2018-09-14,117.0,English,20000000.0,97600000.0,United States,
370,Little Italy,Donald Petrie,"['Vinay Virmani', 'Ajay Virmani', 'Pauline Dhillon']","['Emma Roberts', 'Hayden Christensen', 'Alyssa Milano', 'Adam Ferrara', 'Gary Basaraba', 'Linda Kash', 'Andrew Phung', 'Cristina Rosato', 'Danny Aiello', 'Andrea Martin', 'Jane Seymour']",Thom Best,Michele Conroy,Mateo Messina,"['Firsttake Entertainment', 'Telefilm Canada', 'Voltage Pictures', 'GEM Entertainment', 'Grindstone Entertainment Group']","['Entertainment One (Canada)', 'Lionsgate (United States)']",2018-08-24,102.0,English,,,,
371,Hell Fest,Gregory Plotkin,"['Gale Anne Hurd', 'Tucker Tooley']","['Amy Forsyth', 'Reign Edwards', 'Bex Taylor-Klaus', 'Tony Todd']",Jose David Montero,"['Gregory Plotkin', 'David Egan']",Bear McCreary,"['CBS Films', 'Tucker Tooley Entertainment', 'Valhalla Motion Pictures']",Lionsgate,2018-09-28,89.0,English,5500000.0,18200000.0,United States,
372,I Still See You,Scott Speer,"['Paul Brooks', 'Leon Clarance']","['Bella Thorne', 'Richard Harmon', 'Dermot Mulroney']",Simon Dennis,Paul Covington,Bear McCreary,"['Gold Circle Entertainment', 'Motion Picture Capital']",Lionsgate,2018-10-12,,English,,1600000.0,United States,Jason Fuchs
373,Air Strike,Xiao Feng,"['Jian-Xiang Shi', 'Buting Yang']","['Liu Ye', 'Bruce Willis', 'Song Seung-heon', 'William Chan']",Yang Shu,,Liguang Wang,"['China Film Group', 'Origin Films (Beijing) Investment Co. Ltd.', 'Shanghai Nangou Films Co. Ltd.', 'Shanghai Film Group', 'Hollywood International Film Exchange']","['China Film Group', 'Blue Box International']",2018-10-26,96.0,,65000000.0,,China,
374,Hunter Killer,Donovan Marsh,"['Neal H. Moritz', 'Toby Jaffe', 'Gerard Butler', 'Alan Siegel', 'Tucker Tooley', 'Mark Gill', 'John Thompson', ""Matt O'Toole"", 'Les Weldon']","['Gerard Butler', 'Gary Oldman', 'Common', 'Linda Cardellini', 'Toby Stephens']",Tom Marais,Michael J. Duthie,Trevor Morris,"['Summit Premiere', 'Millennium Media', 'Original Film', 'Relativity Media', 'G-BASE', 'Tucker Tooley Entertainment']",Lionsgate,2018-10-26,121.0,English,40000000.0,31700000.0,United States,"['Arne Schmidt', 'Jamie Moss']"
375,Robin Hood,Otto Bathurst,"['Jennifer Davisson', 'Leonardo DiCaprio']","['Taron Egerton', 'Jamie Foxx', 'Ben Mendelsohn', 'Eve Hewson', 'Jamie Dornan']",George Steel,"['Joe Hutshing', 'Chris Barwell']",Joseph Trapanese,"['Summit Entertainment', 'Appian Way Productions', 'Safehouse Pictures', 'Thunder Road Films']",Lionsgate,2018-11-21,114.0,English,100000000.0,86500000.0,United States,
376,Ben Is Back,Peter Hedges,"['Nina Jacobson', 'Brad Simpson', 'Teddy Schwarzman', 'Peter Hedges']","['Julia Roberts', 'Lucas Hedges', 'Courtney B. Vance']",Stuart Dryburgh,Ian Blume,Dickon Hinchliffe,"['Black Bear Pictures', '30West', 'Color Force']","['LD Entertainment', 'Roadside Attractions', 'Lionsgate (United States)', 'STXinternational (International)']",2018-09-08,103.0,English,13000000.0,12600000.0,United States,Peter Hedges
377,Backtrace,Brian A. Miller,"['Randall Emmett', 'George Furla', 'Matt Luber', 'Mark Stewart']","['Sylvester Stallone', 'Ryan Guzman', 'Meadow Williams', 'Christopher McDonald', 'Colin Egglesfield', 'Lydia Hull', 'Tyler Jon Olson', 'Sergio Rizzuto', 'Swen Temmel', 'Matthew Modine']",Peter Holland,,Tim Jones,"['Lionsgate Premiere', 'Grindstone Entertainment Group', 'Emmett/Furla/Oasis Films', 'Diamond Film Productions LLC', 'Ingeni0us Media', 'Dreamscape Productions', 'The Fyzz', 'Happinet (I)', 'Highland Film Group']",Lionsgate,2018-12-14,87.0,English,6000000.0,490636.0,United States,
378,Colette,Wash Westmoreland,"['Elizabeth Karlsen', 'Pamela Koffler', 'Michel Litvak', 'Christine Vachon']","['Keira Knightley', 'Dominic West', 'Eleanor Tomlinson', 'Denise Gough', 'Aiysha Hart']",Giles Nuttgens,Lucia Zucchetti,Thomas Adès,"['Number 9 Films', 'Killer Films', 'Bold Films']","['Bleecker Street', '30West (United States)', 'Lionsgate (United Kingdom)', 'Vertigo Média Kft. (Hungary)']",2018-01-20,112.0,English,,14600000.0,,
379,Cold Pursuit,Hans Petter Moland,"['Finn Gjerdrum', 'Stein B. Kvae', 'Michael Shamberg', 'Ameet Shukla']","['Liam Neeson', 'Tom Bateman', 'Tom Jackson', 'Emmy Rossum', 'Domenick Lombardozzi', 'Julia Jones', 'John Doman', 'Laura Dern']",Philip Øgaard,Nicolaj Monberg,George Fenton,"['Summit Entertainment', 'StudioCanal', 'Mas Productions', 'Paradox Films']","['Lionsgate', '(International)', 'StudioCanal (France, Germany, United Kingdom, Australia and New Zealand)']",2019-02-08,118.0,English,60000000.0,76300000.0,,Frank Baldwin
380,Fighting with My Family,Stephen Merchant,"['Kevin Misher', 'Dwayne Johnson', 'Dany Garcia', 'Stephen Merchant', 'Michael J. Luisi']","['Florence Pugh', 'Lena Headey', 'Nick Frost', 'Jack Lowden', 'Vince Vaughn', 'Dwayne Johnson']",Remi Adefarasin,Nancy Richardson,"['Vik Sharma', 'Graham Coxon']","['Metro-Goldwyn-Mayer', 'Film4', 'The Ink Factory', 'Seven Bucks Productions', 'Misher Films', 'WWE Studios']","['Lionsgate', 'Metro-Goldwyn-Mayer', 'Universal Pictures']",2019-01-28,108.0,English,11000000.0,41500000.0,,Stephen Merchant
381,A Madea Family Funeral,Tyler Perry,"['Ozzie Areu', 'Will Areu', 'Mark E. Swinton']","['Cassi Davis', 'Patrice Lovely', 'Tyler Perry']",Richard Vialet,Larry Sexton,Philip White,,Lionsgate,2019-03-01,109.0,English,20000000.0,75800000.0,United States,Tyler Perry
382,The Kid,Vincent D'Onofrio,"['Jordan Schur', 'Nick Thurlow', 'Sam Maydew', 'David Mimran']","['Ethan Hawke', 'Dane DeHaan', 'Jake Schur', 'Leila George', 'Chris Pratt']",Matthew J. Lloyd,Katharine McQuerrey,"['Latham Gaines', 'Shelby Gaines']",,Lionsgate,2019-03-08,96.0,English,7000000.0,1600000.0,United States,
383,The Haunting of Sharon Tate,Daniel Farrands,"['Lucas Jarach', 'Daniel Farrands', 'Eric Brenner']","['Hilary Duff', 'Jonathan Bennett', 'Lydia Hearst', 'Pawel Szajda', 'Ryan Cargill']",Carlo Rinaldi,Dan Riddle,Fantom,"['Voltage Pictures', 'Skyline Entertainment', 'ETA Films', 'Green Light Pictures', '1428 Films']",['Saban Films'],2019-04-05,94.0,English,,,United States,Daniel Farrands
384,Crypto,John Stalberg Jr.,"['Jordan Yale Levine', 'Jordan Beckerman', 'David Frigerio']","['Beau Knapp', 'Alexis Bledel', 'Luke Hemsworth', 'Kurt Russell']",Pieter Vermeer,Brian Berdan,Nima Fakhrara,"['Grindstone Entertainment Group', 'YP', 'Film Mode Entertainment', 'Dynasty Pictures']",Lionsgate,2019-04-12,105.0,English,,,United States,
385,Hellboy,Neil Marshall,"['Lawrence Gordon', 'Lloyd Levin', 'Mike Richardson', 'Philip Westgren', 'Carl Hampe', ""Matt O'Toole"", 'Les Weldon', 'Yariv Lerner']","['David Harbour', 'Milla Jovovich', 'Ian McShane', 'Sasha Lane', 'Daniel Dae Kim', 'Thomas Haden Church']",Lorenzo Senatore,Martin Bernfeld,Benjamin Wallfisch,"['Summit Entertainment', 'Millennium Media', 'Lawrence Gordon/Lloyd Levin Productions', 'Nu Boyana Film Studios', 'Dark Horse Entertainment', 'Campbell Grobman Films']",['Lionsgate'],2019-04-09,121.0,English,50000000.0,55100000.0,United States,
386,Long Shot,Jonathan Levine,"['Seth Rogen', 'Charlize Theron', 'A.J. Dix', 'Beth Kono', 'Evan Goldberg', 'James Weaver']","['Seth Rogen', 'Charlize Theron', ""O'Shea Jackson Jr."", 'Andy Serkis', 'June Diane Raphael', 'Bob Odenkirk', 'Alexander Skarsgård']",Yves Bélanger,"['Melissa Bretherton', 'Evan Henke']","['Marco Beltrami', 'Miles Hankins']","['Summit Entertainment', 'Good Universe', 'Point Grey Pictures', 'Denver + Delilah Productions']",Lionsgate,2019-03-09,124.0,English,40000000.0,53900000.0,United States,
387,John Wick: Chapter 3 – Parabellum,Chad Stahelski,"['Basil Iwanyk', 'Erica Lee']","['Keanu Reeves', 'Halle Berry', 'Laurence Fishburne', 'Mark Dacascos', 'Asia Kate Dillon', 'Lance Reddick', 'Anjelica Huston', 'Ian McShane']",Dan Laustsen,Evan Schiff,"['Tyler Bates', 'Joel J. Richard']","['Italia Film Intl', 'Thunder Road Pictures', '87Eleven Productions', 'Company Films']",Lionsgate,2019-05-09,131.0,English,75000000.0,327300000.0,United States,
