,Title,Directed by,Produced by,Starring,Cinematography,Edited by,Music by,Production companies,Distributed by,Release date,Running time,Language,Budget,Box office,Country,Written by
254,The Single Moms Club,Tyler Perry,"['Tyler Perry', 'Ozzie Areu', 'Matt Moore']","['Nia Long', 'Amy Smart', 'Cocoa Brown', 'Terry Crews', 'William Levy', 'Wendi McLendon-Covey', 'Ryan Eggold', 'Zulay Henao', 'Tyler Perry']",Alexander Gruszynski,Maysie Hoy,Christopher Young,,Lionsgate,2014-03-14,111.0,,8000000.0,16399999.999999998,United States,Tyler Perry
255,Divergents,Neil Burger,"['Douglas Wick', 'Lucy Fisher', 'Pouya Shahbazian']","['Shailene Woodley', 'Theo James', 'Ashley Judd', 'Jai Courtney', 'Ray Stevenson', 'Zoë Kravitz', 'Miles Teller', 'Tony Goldwyn', 'Maggie Q', 'Kate Winslet']",Alwin H. Küchler,"['Richard Francis-Bruce', 'Nancy Richardson']",Junkie XL,"['Red Wagon Entertainment', 'Summit Entertainment']",['Lionsgate'],2014-03-18,140.0,English,88000000.0,288900000.0,United States,
256,Draft Day,Ivan Reitman,"['Ivan Reitman', 'Ali Bell', 'Joe Medjuck']","['Kevin Costner', 'Jennifer Garner', 'Denis Leary', 'Frank Langella', 'Sam Elliott', 'Ellen Burstyn', 'Chadwick Boseman']",Eric Steelberg,"['Sheldon Kahn', 'Dana E. Glauberman']",John Debney,"['Summit Entertainment', 'OddLot Entertainment', 'Montecito Picture Company']",Lionsgate,2014-04-07,110.0,English,25000000.0,29500000.0,United States,"['Rajiv Joseph', 'Scott Rothman']"
257,The Railway Man,Jonathan Teplitzky,"['Chris Brown', 'Bill Curbishley', 'Andy Paterson']","['Colin Firth', 'Nicole Kidman', 'Jeremy Irvine', 'Stellan Skarsgård', 'Hiroyuki Sanada']",Garry Phillips,Martin Connor,David Hirschfelder,"['Archer Street Productions', 'Latitude Media', 'Pictures in Paradise', 'Silver Reel', 'Thai Occidental Productions']","['Lionsgate (United Kingdom)', 'Paramount Pictures', 'Transmission Films (Australia)']",2013-09-06,116.0,English,18000000.0,22300000.0,,
258,The Quiet Ones,John Pogue,"['Ben Holden', 'James Gay-Rees', 'Simon Oakes', 'Steven Chester Prince', 'Tobin Armbrust']","['Jared Harris', 'Sam Claflin', 'Erin Richards', 'Rory Fleck Byrne', 'Olivia Cooke']",Mátyás Erdély,Glenn Garland,Lucas Vidal,,Lionsgate,2014-04-10,98.0,English,200000.0,17800000.0,United Kingdom,
259,Postman Pat: The Movie,Mike Disa,Robert Anich Cole,"['Stephen Mangan', 'Jim Broadbent', 'Rupert Grint', 'David Tennant', 'Ronan Keating', 'Susan Duerden', 'Sandra Teles', 'TJ Ramini', 'Peter Woodward']",,Robert David Sanders,Rupert Gregson-Williams,"['Classic Media', 'RGH Pictures', 'Timeless Films']","['Icon Film Distribution', 'Lionsgate', '(United Kingdom)', 'Shout! Factory', '(United States)']",2014-05-23,88.0,English,,8600000.0,,
260,The Angriest Man in Brooklyn,Phil Alden Robinson,"['Bob Cooper', 'Daniel J. Walker', 'Tyler Mitchell']","['Robin Williams', 'Mila Kunis', 'Peter Dinklage', 'James Earl Jones', 'Melissa Leo']",John Bailey,Mark Yoshikawa,Mateo Messina,"['MICA Entertainment', 'AMIB Productions', 'Cargo Entertainment', 'Films de Force Majeure', 'Landscape Entertainment', 'Prominent Media Group', 'Vedette Finance']",Lionsgate,2014-05-23,84.0,English,,531986.0,United States,Daniel Taplitz
261,Burning Blue,D.M.W. Greer,"['John Hadity', 'Arthur J. Kelleher', 'Andrew Halliday']","['Trent Ford', 'Rob Mayes']",Frederic Fasano,Bill Henry,James Lavino,"['Burning Blue The Film L.P.', 'Lionsgate']",Lionsgate Entertainment,2013-06-29,96.0,English,,,United States,"['Helene Kvale', 'D.M.W. Greer']"
262,America: Imagine the World Without Her,"[""Dinesh D'Souza"", 'John Sullivan']","[""Dinesh D'Souza"", 'Gerald R. Molen']",Dinesh D'Souza,Benjamin Huddleston,"['Rickie Lee', 'Jeffrey Linford']",Bryan E. Miller,,Lionsgate,2014-06-27,103.0,English,5000000.0,14400000.0,United States,"[""Dinesh D'Souza"", 'John Sullivan', 'Bruce Schooley']"
263,They Came Together,David Wain,Michael Showalter,"['Paul Rudd', 'Amy Poehler', 'Cobie Smulders', 'Christopher Meloni', 'Max Greenfield', 'Bill Hader', 'Ellie Kemper', 'Jason Mantzoukas', 'Melanie Lynskey', 'Ed Helms']",Tom Houghton,Jamie Gross,"['Craig Wedren', 'Matt Novack']",,Lionsgate,2014-01-24,83.0,English,3000000.0,82780.0,United States,"['David Wain', 'Michael Showalter']"
264,My Man Is a Loser,Mike Young,"['David Goldin', 'Eric Bamberger', 'Vince P. Maggio', 'Dale Resteghini']","['Michael Rapaport', 'Bryan Callen', 'Tika Sumpter', 'John Stamos']",Harlan Bosmajian,Phyllis Housen,"['Cass Dillon', 'Brian H. Kim']","['Step One Of Many Entertainment', 'Imprint Entertainment']",Lionsgate,2014-07-25,95.0,English,,,United States,Mike Young
265,The Expendables 3,Patrick Hughes,"['Avi Lerner', 'Kevin King-Templeton', 'Danny Lerner', 'Les Weldon', 'John Thompson']","['Sylvester Stallone', 'Jason Statham', 'Antonio Banderas', 'Jet Li', 'Wesley Snipes', 'Dolph Lundgren', 'Kelsey Grammer', 'Randy Couture', 'Terry Crews', 'Kellan Lutz', 'Ronda Rousey', 'Glen Powell', 'Victor Ortiz', 'Robert Davi', 'Mel Gibson', 'Harrison Ford', 'Arnold Schwarzenegger']","Peter Menzies, Jr.","['Sean Albertson', 'Paul Harb']",Brian Tyler,"['Millennium Films', 'Nu Image']",Lionsgate,2014-08-04,126.0,English,90000000.0,214700000.0,United States,
266,The Prince,Brian A. Miller,"['George Furla', 'Randall Emmett', 'Adam Goldworm', 'Ho-Sung Pak', 'Fred Song']","['Jason Patric', 'Bruce Willis', 'John Cusack', 'Rain', 'Jessica Lowndes', 'Johnathon Schaech', 'Gia Mantegna', '50 Cent']",Yaron Levy,Rick Shaine,The Newton Brothers,"['Grindstone Entertainment Group', 'Aperture Entertainment', 'Emmett/Furla/Oasis Films']",Lionsgate,2014-08-22,91.0,English,18000000.0,,United States,"['Andre Fabrizio', 'Jeremy Passmore']"
267,Leprechaun: Origins,Zach Lipovsky,"['Chris Foss', 'Michael Luisi']","['Dylan ""Hornswoggle"" Postl']",Mahlon Todd Williams,Mark Stevens,Jeff Tymoschuck,"['WWE Studios', '(Original Leprechaun Films, Inc.)']",Lionsgate,2014-08-22,90.0,English,,,United States,Harris Wilkinson
